File,Model,Operation,Severity,Issue
"src/app/api/finance/period-close/route.ts","periodCloseChecklist","createMany","HIGH","Status change without audit"
"src/app/api/finance/period-close/[id]/step/route.ts","periodCloseChecklist","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/petty-cash/route.ts","pettyCashTransaction","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/petty-cash/[id]/process/route.ts","pettyCashTransaction","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/reconciliations/route.ts","bankReconciliation","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/reconciliations/[id]/route.ts","journalLine","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/finance/reconciliations/[id]/route.ts","bankReconciliation","update","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/route.ts","fixedAsset","create","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/[id]/depreciate/route.ts","fixedAsset","update","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/[id]/depreciate/route.ts","journalEntry","create","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/[id]/depreciate/route.ts","assetDepreciationLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/[id]/route.ts","fixedAsset","update","CRITICAL","Mutation without tenantId"
"src/app/api/fixed-assets/[id]/route.ts","fixedAsset","delete","CRITICAL","Mutation without tenantId"
"src/app/api/fleet/fuel/route.ts","fuelLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/fleet/trips/route.ts","fleetTrip","create","CRITICAL","Mutation without tenantId"
"src/app/api/fng/budgets/route.ts","budget","create","CRITICAL","Mutation without tenantId"
"src/app/api/fng/budgets/route.ts","budget","update","CRITICAL","Mutation without tenantId"
"src/app/api/fng/budgets/route.ts","budget","delete","CRITICAL","Mutation without tenantId"
"src/app/api/fng/petty-cash-funds/route.ts","employee","create","CRITICAL","Mutation without tenantId"
"src/app/api/fng/petty-cash-funds/route.ts","pettyCashFund","create","CRITICAL","Mutation without tenantId"
"src/app/api/fng/petty-cash-funds/route.ts","pettyCashFund","update","CRITICAL","Mutation without tenantId"
"src/app/api/fng/petty-cash-funds/route.ts","pettyCashFund","delete","CRITICAL","Mutation without tenantId"
"src/app/api/fsm/complete/route.ts","serviceTicket","update","CRITICAL","Mutation without tenantId"
"src/app/api/fsm/tickets/route.ts","serviceTicket","create","CRITICAL","Mutation without tenantId"
"src/app/api/fx/route.ts","exchangeRate","create","CRITICAL","Mutation without tenantId"
"src/app/api/gift-cards/route.ts","giftCard","create","CRITICAL","Mutation without tenantId"
"src/app/api/gift-cards/[id]/route.ts","giftCard","update","CRITICAL","Mutation without tenantId"
"src/app/api/gift-cards/[id]/route.ts","giftCard","delete","CRITICAL","Mutation without tenantId"
"src/app/api/hr/attendance/route.ts","attendance","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/attendance/route.ts","attendance","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/attendance/route.ts","attendance","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/employees/route.ts","employee","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/eos/[id]/route.ts","endOfServiceCalculation","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/eos/[id]/route.ts","endOfServiceCalculation","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/gosi/route.ts","salary","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/jobs/route.ts","jobPosting","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/leaves/[id]/route.ts","leaveRequest","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/leaves/[id]/route.ts","leaveBalance","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/hr/leaves/[id]/route.ts","leaveRequest","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/leaves/[id]/route.ts","leaveBalance","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/hr/loans/route.ts","employeeLoan","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/calculate/route.ts","employeeLoan","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/config/route.ts","setting","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/config/route.ts","setting","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/generate/route.ts","employeeLoan","update","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/generate/route.ts","salary","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/generate/route.ts","journalEntry","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/payroll/run/route.ts","salary","createMany","HIGH","Status change without audit"
"src/app/api/hr/payroll/run/route.ts","journalEntry","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/performance/route.ts","employeeEvaluation","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/training/route.ts","trainingCourse","create","CRITICAL","Mutation without tenantId"
"src/app/api/hr/wps/route.ts","wPSBatch","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/admin/2fa/disable/route.ts","iceAdmin","update","CRITICAL","Mutation without tenantId"
"src/app/api/ice/admin/2fa/disable/route.ts","iceAuditLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/admin/2fa/enable/route.ts","iceAdmin","update","CRITICAL","Mutation without tenantId"
"src/app/api/ice/admin/2fa/enable/route.ts","iceAuditLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/2fa/verify/route.ts","iceLoginLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/2fa/verify/route.ts","iceAdmin","update","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/2fa/verify/route.ts","cookies","delete","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/login/route.ts","iceAdmin","update","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/login/route.ts","iceLoginLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/auth/route.ts","cookies","delete","CRITICAL","Mutation without tenantId"
"src/app/api/ice/subscriptions/route.ts","iceTenantSubscription","upsert","CRITICAL","Mutation without tenantId"
"src/app/api/ice/subscriptions/route.ts","iceAuditLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/ice/tenant-features/route.ts","tenantFeatureFlag","upsert","CRITICAL","Mutation without tenantId"
"src/app/api/installments/route.ts","installment","create","CRITICAL","Mutation without tenantId"
"src/app/api/integrations/mudad/route.ts","wPSBatch","update","CRITICAL","Mutation without tenantId"
"src/app/api/inventory/abc-analysis/route.ts","product","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/inventory/quality-control/route.ts","qualityInspection","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/knowledge/articles/route.ts","kBArticle","create","CRITICAL","Mutation without tenantId"
"src/app/api/knowledge/articles/route.ts","kBArticle","update","CRITICAL","Mutation without tenantId"
"src/app/api/knowledge/categories/route.ts","kBCategory","create","CRITICAL","Mutation without tenantId"
"src/app/api/license/verify/route.ts","desktopLicense","update","CRITICAL","Mutation without tenantId"
