Path,Lines,HasPrismaDirect,HasServiceCall,NeedsRefactor
"D:\namasoft9-3-main\src\app\api\cron\debts\route.ts",94,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\depreciation-monthly\route.ts",157,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\document-expiry\route.ts",62,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\ecl\route.ts",62,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\fx-revaluation\route.ts",43,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\hr\route.ts",121,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\ifrs16-monthly\route.ts",137,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\payment-reminders\route.ts",245,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\payroll-monthly\route.ts",122,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\predictive-po\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\prepayments-amortization\route.ts",166,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\rag-reindex\route.ts",42,true,false,false
"D:\namasoft9-3-main\src\app\api\cron\recurring-billing\route.ts",33,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\rem-leases\route.ts",85,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\reorder-alerts\route.ts",85,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\scheduled-reports\route.ts",109,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\self-healer\route.ts",72,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\shifts\route.ts",80,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\trigger-invoices\route.ts",107,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\vat-return-reminder\route.ts",112,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\vendor-scoring\route.ts",41,true,false,false
"D:\namasoft9-3-main\src\app\api\cron\zatca-batch-submit\route.ts",281,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\zatca-worker\route.ts",85,true,false,true
"D:\namasoft9-3-main\src\app\api\customer\table\[qrToken]\route.ts",59,true,false,true
"D:\namasoft9-3-main\src\app\api\customers\route.ts",128,true,false,true
"D:\namasoft9-3-main\src\app\api\customers\[id]\credit\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\customers\[id]\gdpr-delete\route.ts",75,true,false,true
"D:\namasoft9-3-main\src\app\api\customers\[id]\hold\route.ts",58,true,false,true
"D:\namasoft9-3-main\src\app\api\customers\[id]\route.ts",124,true,false,true
"D:\namasoft9-3-main\src\app\api\customers\[id]\statement\route.ts",61,false,false,false
"D:\namasoft9-3-main\src\app\api\dashboard\route.ts",67,true,false,true
"D:\namasoft9-3-main\src\app\api\delivery-platforms\route.ts",49,false,false,false
"D:\namasoft9-3-main\src\app\api\desktop\trial\verify\route.ts",120,false,false,false
"D:\namasoft9-3-main\src\app\api\desktop\verify-license\route.ts",63,true,false,true
"D:\namasoft9-3-main\src\app\api\dms\route.ts",66,false,false,false
"D:\namasoft9-3-main\src\app\api\docs\openapi.json\route.ts",23,false,false,false
"D:\namasoft9-3-main\src\app\api\docs\route.ts",69,false,false,false
"D:\namasoft9-3-main\src\app\api\documents\route.ts",100,true,false,true
"D:\namasoft9-3-main\src\app\api\documents\transition\route.ts",98,false,false,false
"D:\namasoft9-3-main\src\app\api\documents\[id]\route.ts",50,true,false,false
"D:\namasoft9-3-main\src\app\api\ecommerce\orders\route.ts",65,false,false,false
"D:\namasoft9-3-main\src\app\api\ecommerce\stores\route.ts",84,false,false,false
"D:\namasoft9-3-main\src\app\api\ecommerce\sync\route.ts",113,true,false,true
"D:\namasoft9-3-main\src\app\api\email\route.ts",83,false,false,false
"D:\namasoft9-3-main\src\app\api\employees\route.ts",159,true,false,true
"D:\namasoft9-3-main\src\app\api\employees\[id]\route.ts",101,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\fleet\route.ts",72,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\legal\route.ts",169,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\mrp\route.ts",146,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\projects\budget\route.ts",136,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\projects\route.ts",173,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\projects\tasks\route.ts",140,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\property\route.ts",92,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\quality\route.ts",73,true,false,true
"D:\namasoft9-3-main\src\app\api\enterprise\wms\route.ts",122,true,false,true
"D:\namasoft9-3-main\src\app\api\esign\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\events\registrations\route.ts",38,false,false,false
